alert_date,alert_type,contractor_name,contractor_email,contractor_phone,project_number,project_name,project_state,project_location,bid_amount,award_amount,letting_date,award_date,source_url,notes
2026-04-27,award_prospect,CDM CONSTRUCTORS INC,,,INR17PC00023,POJOAQUE BASIN REGIONAL WATER SYSTEM IGF::OT::IGF,NM,,,357614790.0,,,https://www.usaspending.gov/award/CONT_AWD_INR17PC00023_1425_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,JACOBS PROJECT MANAGEMENT CO.,,,140R4024C0013,SAN JUAN LATERAL WATER TREATMENT PLANT,NM,,,270116820.76,,,https://www.usaspending.gov/award/CONT_AWD_140R4024C0013_1425_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,"NW CONSTRUCTION, INC",,,140R2025C0004,THE WORK REQUIRED IS FOR PHASE II OF B.F. SISK DAM SOD MODIFICATIONS.,CA,,,257269309.0,,,https://www.usaspending.gov/award/CONT_AWD_140R2025C0004_1425_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,KIEWIT INFRASTRUCTURE SOUTH CO,,,12445126C0001,"MORATORIUM EXCEPTION""  BLI DDVAK725 HURRICANE HELENE VCT DISASTER RECON DESIGN-BUILD HURRICANE HELENE IN VA",VA,,,241843089.47,,,https://www.usaspending.gov/award/CONT_AWD_12445126C0001_12C2_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,KIEWIT INFRASTRUCTURE WEST CO.,,,140P2025C0038,YOSE 196416 REHABILITATE EL PORTAL WASTEWATER TREATMENT FACILITY AND ADMINISTRATIVE CAMP  THE WORK OF THIS CONTRACT IS FOR THE CONSTRUCTION OF: YOSE 196416 REHABILITATE EL PORTAL WASTEWATER TREATMENT FACILITY AND ADMINISTRATIVE CAMP IN YOSEMITE NAT,CA,,,217706096.0,,,https://www.usaspending.gov/award/CONT_AWD_140P2025C0038_1443_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,STRONGHOLD ENGINEERING INC,,,140P2023C0001,"GRCA 190083 / 250176 - IMPROVE POTABLE WATER SUPPLY TO INNER-CANYON AND SOUTH RIM, TRANS-CANYON WATER DISTRIBUTION PIPELINE, GRAND CANYON NATIONAL PARK, AZ",AZ,,,216965500.0,,,https://www.usaspending.gov/award/CONT_AWD_140P2023C0001_1443_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,GRANITE CONSTRUCTION COMPANY,,,69056723C000008,THE PROJECT CONSISTS OF TWO PHASES: 1) PRE-CONSTRUCTION SERVICES CONTAINED IN THE BASE CONTRACT; AND 2) CONSTRUCTION SERVICES CONTAINED IN TWO OPTIONS. THE PROJECT WILL CONSIST OF SPANNING THE ACTIVE PRETTY ROCKS LANDSLIDE WITH AN APPROXIMATELY 475-F,AK,,,214934133.09,,,https://www.usaspending.gov/award/CONT_AWD_69056723C000008_6925_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,"BWI TPC, A JOINT VENTURE",,,140R2022C0001,FKC MIDDLE REACH CAPACITY CORRECTION PROJECT PHASE 1,CA,,,186849111.69,,,https://www.usaspending.gov/award/CONT_AWD_140R2022C0001_1425_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,SKANSKA USA CIVIL NORTHEAST INC,,,N4008524C0002,NOAA OMAO SHIP & REPAIR FACILITY,RI,,,149336416.45,,,https://www.usaspending.gov/award/CONT_AWD_N4008524C0002_9700_-NONE-_-NONE-,Unknown contractor - research and add
2026-04-27,award_prospect,WAGMAN HEAVY CIVIL INC,,,693C7323C000004,"NP-COLO 1A21, B42, C18, D51 - THE PROJECT CONSISTS OF THE REHABILITATION OF APPROXIMATELY 10.3 MILES OF THE COLONIAL PARKWAY (PARKWAY) FROM MILEPOST (MP) 0.17 TO MP 1.61 AND MP 6.02 TO MP 14.88 WITHIN COLONIAL NATIONAL HISTORICAL PARK.  THE WORK INCL",VA,,,134210976.67,,,https://www.usaspending.gov/award/CONT_AWD_693C7323C000004_6925_-NONE-_-NONE-,Unknown contractor - research and add
