company,address,city,state,zip,phone,email,trades,source_file,segment
"A To Z Site Contractors, Inc.",50 Houston Avenue,Jackson,NJ,08527,,minna@atozsitecontractors.com,"28,9V,22",njdot_prequalified,utility
"A-Tech Concrete Co., Inc.",11 Taylor Road,Edison,NJ,08817,,smitrou@atechconcrete.net,"11,8,4",njdot_prequalified,gc_excavation
"A. Servidone, Inc.",1366 Route,Castleton,NY,12033,,bill@asibacc.com,"5,9",njdot_prequalified,utility
"A.E. Stone, Inc.",1435 Doughty Road,Egg Harbor Twp,NJ,08234,,tritter@aestone.com,"35,8D,24,25,5",njdot_prequalified,paving_asphalt
"Abel Recon, Llc",P.O. Box 476,Mountville,PA,17554,,mgainer@abelrecon.com,"9V,8B",njdot_prequalified,utility
"Abhe & Svoboda, Inc. Jordan MN 55352",18100 Dairy Lane,,,,,donnell.hauck@abheonline.com,"4,24,8C,8B",njdot_prequalified,paving_asphalt
"Adamsville Maintenance, Inc.","330 Roycefield Road, Unit E",Hillsborough,NJ,08844,,amidirt@aol.com,"1,8C,10",njdot_prequalified,paving_asphalt
"Agate Construction Co., Inc.",P.O. Box 107,Ocean View,NJ,08210,,estimating@agateconstruction.net,"41,5",njdot_prequalified,gc_excavation
"Allan Briteway Electrical Utility Contractors, Inc.",130 Algonquin Parkway,Whippany,NJ,07981,,scarter@allanbritewayutility.com,7,njdot_prequalified,gc_excavation
"Allied Painting, Inc.",4 Larwin Road,Cherry Hill,NJ,08034,,mmasso@alliedpaintinginc.com,"4,8B,5",njdot_prequalified,gc_excavation
American Bridge Company,1000 American Bridge Way,Coraopolis,PA,15108,,mgreen@americanbridge.net,"1,41,42,4",njdot_prequalified,gc_excavation
"American Lighting & Signalization, Llc",11639 Davis Creek Road East,Jacksonville,FL,32256,,smurphy5@asplundh.com,7,njdot_prequalified,gc_excavation
"Anselmi & Decicco, Inc.",1977 Springfield Avenue,Maplewood,NJ,07040,,anselmi@anselminj.com,"41,8,5",njdot_prequalified,gc_excavation
"Arawak Paving Co., Inc.",7503 Weymouth Road,Hammonton,NJ,08037,,arawakpaving@aol.com,"25,8C,8B,3",njdot_prequalified,paving_asphalt
"Armour & Sons Electric, Inc.",23 East Cabot Boulevard,Langhorne,PA,19047,,mariann@armourandsons.com,7,njdot_prequalified,gc_excavation
"Arthur R. Henry, Inc.",3031 Ocean Heights Avenue,Egg Harbor Township,NJ,08234,,rjr@arhenry.com,5,njdot_prequalified,gc_excavation
"Asphalt Paving Systems, Inc.",P.O. Box 530,Hammonton,NJ,08037,,steve.plummer@comcast.net,"2,3A,8C,8D,2A,25,8B",njdot_prequalified,paving_asphalt
Atlas Concrete Corporation,"40 Brunswick Avenue, Suite 201",Edison,NJ,08817,,jamorim@atlascon.net,"4R,9E,14,4S,4T,8",njdot_prequalified,utility
"Atlas Flasher & Supply Co., Inc.",P.O. Box 488,Mickleton,NJ,08056,,csabol@atlasflasher.com,24,njdot_prequalified,gc_excavation
"B.R. Welding, Inc.",3 Brook Road,Howell,NJ,07731,,stephanie@brwelding.com,"11,3",njdot_prequalified,paving_asphalt
"Barbella Construction Services, Llc",24 Tannery Road,Somerville,NJ,08876,,monteferrantea@barbellaconstruction.com,"28,11,24,3,22",njdot_prequalified,paving_asphalt
Barnard Construction Company,630 Newark Pompton Turnpike,Pompton Plains,NJ,07444,,ireneh@barnardconst.com,"1,22",njdot_prequalified,gc_excavation
"Beach Electric Co., Inc",67-69 Grove Street,Paterson,NJ,07503,,info@beachelectricco.com,"22,7,3",njdot_prequalified,paving_asphalt
"Berenato Contractors, Inc.",160 South Second Road,Hammonton,NJ,08037,,berenato@comcast.net,"7,8,3,22",njdot_prequalified,paving_asphalt
"Berkel & Company Contractors, Inc. Bonner Springs KS 66012",2649 South 142Nd Street,,,,,smartley@berkelapg.com,4T,njdot_prequalified,gc_excavation
"Berto Construction, Inc.",625 Leesville Avenue,Rahway,NJ,07065,,berto@bertoconstruction.com,"8,5,22",njdot_prequalified,gc_excavation
"Berto Trucking, Inc.",46 Garfield Avenue,Colonia,NJ,07067,,bertotrucking@aol.com,8C,njdot_prequalified,paving_asphalt
"Bil-Jim Construction Co., Inc.",1033 North Maple Avenue,Toms River,NJ,08755,,chordichuk@biljim.com,"3A,8C,24,25,22",njdot_prequalified,paving_asphalt
"Black Rock Enterprises, Llc",1316 Englishtown Road,Old Bridge,NJ,08857,,jackie@blackrocknj.com,"3A,24,4,25,2A,22,8",njdot_prequalified,paving_asphalt
"Blastech Enterprises, Inc.","2200 Van Deman Street, Suite 100",Baltimore,MD,21224,,christinah@blastechenterprises.com,24,njdot_prequalified,gc_excavation
Brandenburg Industrial Service Co.,2217 Spillman Drive,Bethlehem,PA,18015,,email@brandenburg.com,"1,10",njdot_prequalified,gc_excavation
"Buckley & Company, Inc.",3401 Moore Street,Philadelphia,PA,19145,,cpadula@buckleyco.com,"4,5",njdot_prequalified,gc_excavation
"C. Caruso Landscaping & Excavating, Inc. T/A Caruso Excavati",P.O. Box 2043,Ocean,NJ,07712,,mkuzloski@carusoexcavating.com,"1,4,9V,22",njdot_prequalified,utility
"C.J. Hesse, Inc.",25 First Avenue,Atlantic Highlands,NJ,07716,,lmulcahy@cjhesse.com,"25,5",njdot_prequalified,paving_asphalt
Calvi Electric Co.,14 South California Avenue,Atlantic City,NJ,08401,,calvi@calvielectric.com,"7,14",njdot_prequalified,gc_excavation
"Carr & Duff, Inc.",2100 Byberry Road,Huntingdon Valley,PA,19006,,rseckinger@carrduff.com,"41,24,7,22",njdot_prequalified,gc_excavation
Case Foundation Company Roselle IL 60172,P.O. Box,,,,,pdaleksiak@casefoundation.com,"11,9B",njdot_prequalified,utility
"Cashman Dredging & Marine Contracting Co., Llc",549 South Street,Quincy,MA,02169,,jclougherty@jaycashman.com,11,njdot_prequalified,gc_excavation
"Central Jersey Landscaping, Inc.",,Chesterfield,NJ,08515,,mike_cjl@verizon.net,6,njdot_prequalified,gc_excavation
"Chammings Electric, Inc.",P.O. Box 789,Vineland,NJ,08362,,office@chammingselectric.com,"41,7,5",njdot_prequalified,gc_excavation
"Charles Marandino, Llc",P.O. Box,Milmay,NJ,08340,,cmllc@comcast.net,"8D,8C,8B",njdot_prequalified,paving_asphalt
"Clyde N. Lattimer & Son Construction Co., Inc.",228 North Route,Berlin,NJ,08009,,cnlconst@aol.com,"8C,1,24,14,4,8B,22",njdot_prequalified,paving_asphalt
"Colonnelli Bros, Inc.",409 South River Street,Hackensack,NJ,07601,,ncolonnelli@colonnelli.com,5,njdot_prequalified,gc_excavation
"Command Co., Inc.",1318 Antwerp Avenue,Egg Harbor City,NJ,08215,,office@commandcoinc.com,5,njdot_prequalified,gc_excavation
"Consolidated Steel & Aluminum Fence Co., Inc.",316 North 12Th Street,Kenilworth,NJ,07033,,bholzberg@csafinc.com,9E,njdot_prequalified,utility
"Conti Enterprises, Inc.",2045 Lincoln Highway,Edison,NJ,08817,,lrigatti@contienterprises.com,"41,5",njdot_prequalified,gc_excavation
"Cornell & Co., Inc.",224 Cornell Lane,Westville,NJ,08093,,kbrockway@cornell-co.com,"41,42,5",njdot_prequalified,gc_excavation
"Crisdel Group, Inc.",240 Ryan Street,South Plainfield,NJ,07080,,lfeyas@crisdel.com,5,njdot_prequalified,gc_excavation
"Crs Contractors, Inc.","315 Route 34, Suite 137",Colts Neck,NJ,07722,,lgulino@crscontractorsinc.com,22,njdot_prequalified,gc_excavation
"Custom Concrete Construction, Inc.",22 School Road West,Marlboro,NJ,07746,,zagari5@verizon.net,"8,22",njdot_prequalified,gc_excavation
"Cypreco Industries, Inc.",1420 9Th Avenue,Neptune,NJ,07753,,cypreco7@aol.com,"22,8C,8B,14",njdot_prequalified,paving_asphalt
"D'Annunzio & Sons, Inc.",3730 Park Avenue,South Plainfield,NJ,07080,,smcmaster@dannunziocorp.com,"42,5",njdot_prequalified,gc_excavation
"Daidone Electric, Inc.",200 Raymond Boulevard,Newark,NJ,07105,,mdunn@daidoneelectric.com,"24,41,22,7,5",njdot_prequalified,gc_excavation
"Dbi Services, Llc",100 North Conahan Drive,Hazleton,PA,18201,,rachel.herron@dbiservices.com,24,njdot_prequalified,gc_excavation
"Della Pello Paving, Inc.",40 Milltown Road,Union,NJ,07083,,lmancini@dellapello.com,"7,3A,25",njdot_prequalified,paving_asphalt
Delta Line Construction Company,7 Robert Best Road,Egg Harbor Township,NJ,08234,,seh@deltaline.org,"41,7,22",njdot_prequalified,gc_excavation
"Diehl Electric, Inc.",P.O. Box 209,Hammonton,NJ,08037,,office@diehlelectric.com,"7,22",njdot_prequalified,gc_excavation
"Dimeglio Construction Co., Inc.",594 White Horse Pike,Atco,NJ,08004,,info@dimeglioconstruction.com,"11,3",njdot_prequalified,paving_asphalt
"Donjon Marine Co., Inc.",100 Central Avenue,Hillside,NJ,07205,,paul.witte@donjon.com,11,njdot_prequalified,gc_excavation
"Driscoll Construction Co., Inc. Dba M. J. Driscoll","1740 Walton Road, Suite 200",Blue Bell,PA,19422,,mbrusca@driscoll-const.com,5,njdot_prequalified,gc_excavation
"Dynamic Surface Applications, Ltd",373 Village Road,Pennsdale,PA,17756,,mfosse@dsa-ltd.com,"25,24,8B",njdot_prequalified,paving_asphalt
Earle Asphalt Company,1800 Route 34 Bldg 2 Suite 205,Wall,NJ,07719,,kspringer@earleco.com,"2,5",njdot_prequalified,paving_asphalt
"Ecco Iii Enterprises, Inc.",201 Saw Mill River Road,Yonkers,NY,10701,,bobp@eccoiii.com,5,njdot_prequalified,gc_excavation
"Edward H. Cray, Inc.",12 Seventh Avenue,Trenton,NJ,08619,,sandra@edwardcray.com,"7,8",njdot_prequalified,gc_excavation
El Sol Contracting & Construction Corp.,43-06 54Th Road,Maspeth,NY,11378,,rpomponio@elsolcontracting.com,5,njdot_prequalified,gc_excavation
"Elk Pipeline, Inc. T/A Crown Pipeline Construction Co.",3345 Delsea Drive,Franklinville,NJ,08322,,crownpipeline@comcast.net,"8C,1,8B,22,9V",njdot_prequalified,utility
"Ferreira Construction Co., Inc.",31 Tannery Road,Branchburg,NJ,08876,,lindak@ferreiraconstruction.com,"5,22",njdot_prequalified,gc_excavation
"Fischer Contracting, Inc.",10 Short Hills Lane,Scotch Plains,NJ,07076,,jon@fischercontracting.com,"8C,11,3,25,8B,10",njdot_prequalified,paving_asphalt
"Flanagan'S Contracting Group, Inc.",90 Old Camplain Road,Hillsborough,NJ,08844,,cflanagan@flanagansinc.com,"4,9E,2B,8C",njdot_prequalified,utility
"Fred A. Cook, Jr., Inc.",P.O. Box,Montrose,NY,10548,,bcook@fredcook.com,9V,njdot_prequalified,utility
"Fred M. Schiavone Construction, Inc.",P.O. Box 416,Malaga,NJ,08328,,roberta@fmschiavone.com,"22,3,6,14",njdot_prequalified,paving_asphalt
"Garden State General Construction, Inc.",8 Clermont Drive,Clermont,NJ,08210,,digfor_u@yahoo.com,"1,11,10,22,8",njdot_prequalified,gc_excavation
"Garden State Highway Products, Inc.",301 Riverside Drive,Millville,NJ,08332,,sharon@shpinc.com,"24,9",njdot_prequalified,utility
"Garden State Sealing, Inc.",300 Commerce Drive,Tinton Falls,NJ,07753,,richmanners@comcast.net,"8D,2A,8C,8B",njdot_prequalified,paving_asphalt
"George Harms Construction Company, Inc.",P.O. Box 817,Farmingdale,NJ,07727,,ccarter@ghcci.com,"6,9,42,8,5",njdot_prequalified,utility
"Glasgow, Inc.",104 Willow Grove Avenue,Glenside,PA,19038,,heather.kettell@glasgowinc.com,5,njdot_prequalified,gc_excavation
Granite Construction Company Watsonville CA 95076,585 West Beach Street,,,,,isabel.barron@gcinc.com,"8,5",njdot_prequalified,gc_excavation
"Great Lakes Dredge & Dock Co., Llc Oak Brook IL 60523",2122 York Road,,,,,bhutchinson@gldd.com,"1,11,4",njdot_prequalified,gc_excavation
"Green Construction, Inc.",26 Elizabeth Street,South River,NJ,08882,,jabreu@greenconstructionnj.com,"3A,24,4,8,5",njdot_prequalified,paving_asphalt
"Gres Paving Co., Inc.",2475 East State Street,Trenton,NJ,08619,,grespaving@aol.com,"25,3A",njdot_prequalified,paving_asphalt
"Hayward Baker, Inc.","7550 Teaque Road, Suite 300",Hanover,MD,21076,,japastore@haywardbaker.com,11,njdot_prequalified,gc_excavation
"Hbc Company, Inc.",131 Washington Street,Lodi,NJ,07644,,jhoogendoorn@hbcco.com,"7,22",njdot_prequalified,gc_excavation
"Hutton Construction, Llc",41 Village Park Road,Cedar Grove,NJ,07009,,hutton@hutton1.com,"41,5,22",njdot_prequalified,gc_excavation
"Iaconelli Contracting, Inc.",943 Mill Road,Pleasantville,NJ,08232,,iaconelli@aol.com,"11,10",njdot_prequalified,gc_excavation
"Iew Construction Group, Inc.",75 Sculptors Way,Trenton,NJ,08619,,h.coleman@iewconstruction.com,"41,7,5",njdot_prequalified,gc_excavation
"Ipc Lydon, Llc",284 Bodwell Street,Avon,MA,02322,,jburke@ipclydon.com,41,njdot_prequalified,gc_excavation
J. A. Neary Corporation,330 Lincoln Boulevard,Middlesex,NJ,08846,,donalyn@nearyexcavating.com,"22,24,3,10",njdot_prequalified,paving_asphalt
J. Anthony Equipment Co.,4201 South Clinton Avenue,South Plainfield,NJ,07080,,yardboss4201@aol.com,11,njdot_prequalified,gc_excavation
"J. Fletcher Creamer & Son, Inc.",101 East Broadway,Hackensack,NJ,07601,,jstodnick@jfcson.com,5,njdot_prequalified,gc_excavation
"James D. Morrissey, Inc.",9119 Frankford Avenue,Philadelphia,PA,19114,,sbarcusky@jdm-inc.com,5,njdot_prequalified,gc_excavation
"James J. Anderson Construction Co., Inc.","6958 Torresdale Avenue, Suite 200",Philadelphia,PA,19135,,jimv@jjaconstruction.com,"24,25,10,8,5",njdot_prequalified,paving_asphalt
"Jen Electric, Inc.",631 Morris Avenue,Springfield,NJ,07081,,jen@jenelectricinc.com,7,njdot_prequalified,gc_excavation
Johnson Bros. Corporation Roanoke TX 76262,608 Henrietta Creek Road,,,,,janie@southlandholdings.com,5,njdot_prequalified,gc_excavation
"Joseph Defino Trucking Co., Inc. T/A Defino Contracting Co.",28 Industrial Drive,Cliffwood Beach,NJ,07735,,mmazz@definocontracting.com,"28,35,3A,24,14,25,22,4T,8,5",njdot_prequalified,paving_asphalt
"Joseph M. Sanzari, Inc.",100 West Franklin Street,Hackensack,NJ,07601,,rsteinberg@sanzaricompanies.com,5,njdot_prequalified,gc_excavation
"Jpc Group, Inc.",228 Blackwood-Barnsboro Road,Blackwood,NJ,08012,,joep2@jpcgroupinc.com,5,njdot_prequalified,gc_excavation
Jrcruz Corp.,675 Line Road,Aberdeen,NJ,07747,,jtancsak@jrcruz.com,5,njdot_prequalified,gc_excavation
"Jupiter Painting Contracting Co., Inc.",1500 River Road,Croydon,PA,19021,,r.malissa@jupiterpcc.com,24,njdot_prequalified,gc_excavation
"Kane Communications, Llc","572 Whitehead Road, Suite 201",Trenton,NJ,08619,,mkane@kanecomm.com,"7,9A,9B,22",njdot_prequalified,utility
"Kemsco Construction & Equipment Co., Inc.",139 Harper Street,Newark,NJ,07114,,kemscoinc@aol.com,22,njdot_prequalified,gc_excavation
"Kevin Downes Tree Service, Inc.",65 Royal Avenue,Hawthorne,NJ,07506,,amyd@downestreeservice.com,"1,6",njdot_prequalified,gc_excavation
Kiewit Infrastructure Company,"470 Chestnut Ridge Road, 2Nd Floor",Woodcliff Lake,NJ,07677,,jennie.bookout@kiewit.com,"41,42,5",njdot_prequalified,gc_excavation
"Kiska Construction, Inc.","43-10 11Th Street, 2Nd Floor",Long Island City,NY,11101,,akozbek@kiskagroup.com,"11,4,41,8B,10",njdot_prequalified,gc_excavation
"Krisanna Construction, Inc.",838 Piney Hollow Road,Hammonton,NJ,08037,,kwhitmyer@jci-kci.com,"25,3A,8C",njdot_prequalified,paving_asphalt
"Kyle Conti Construction, Llc",749 Clawson Avenue,Hillsborough,NJ,08844,,kyle@kconti.com,5,njdot_prequalified,gc_excavation
"L & L Paving Company, Inc.",89 Yellowbrook Road,Farmingdale,NJ,07727,,lance@llpaving.com,"3A,8C,8D,25,8B",njdot_prequalified,paving_asphalt
"L & L Property Enterprises, Llc",32F Wernik Place,Metuchen,NJ,08840,,kristen@landlproperty.com,"6,24,25,2A,2B,22,7",njdot_prequalified,paving_asphalt
L. Feriozzi Concrete Co.,3010 Sunset Avenue,Atlantic City,NJ,08401,,mailbox@lferiozzi.com,"8C,8B,4S,4T,5",njdot_prequalified,paving_asphalt
"Lafayette Utility Construction Co., Inc.",9 Atlantic Avenue,Egg Harbor Township,NJ,08234,,marialutil@comcast.net,"11,22,9",njdot_prequalified,utility
"Landberg Construction, Llc",82 Tuckahoe Road,Dorothy,NJ,08317,,mike@landbergconstruction.com,"3A,8C,8D,25,8B",njdot_prequalified,paving_asphalt
"Lc Equipment, Inc.",394 Route,Tuckahoe,NJ,08250,,lizconrad@lcequipment.com,24,njdot_prequalified,gc_excavation
